Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
233,Arky Vaughan,1985,14,1932,1948,9,72.9,1817,7722,6622,1173,2103,356,128,96,926,118,18,937,276,22,70,,116,0.318,0.406,0.453,0.859
234,Rube Waddell,1946,13,1897,1910,0,-2.5,410,1136,1066,61,172,29,10,4,83,6,,42,300,,,,23,0.161,0.197,0.219,0.416
235,Honus Wagner,1936,21,1897,1917,0,130.9,2794,11746,10439,1739,3420,643,252,101,1732,723,26,963,735,,,,221,0.328,0.391,0.467,0.858
236,Bobby Wallace,1953,25,1894,1918,0,70.3,2383,9617,8618,1057,2309,391,143,34,1121,201,10,774,560,,,,173,0.268,0.332,0.358,0.69
237,Ed Walsh,1946,14,1904,1917,0,2.1,459,1164,1085,92,210,38,10,3,68,14,1,46,282,,,,30,0.194,0.231,0.255,0.486
238,Lloyd Waner,1967,18,1927,1945,1,24.1,1993,8333,7772,1201,2459,281,118,27,598,67,3,420,173,0,57,,108,0.316,0.353,0.393,0.747
239,Paul Waner,1952,20,1926,1945,4,72.8,2549,10766,9459,1627,3152,605,191,113,1309,104,6,1091,376,5,127,,174,0.333,0.404,0.473,0.878
240,John Ward,1964,17,1878,1894,0,34.3,1827,8114,7656,1410,2107,231,96,26,869,540,,421,326,,,,20,0.275,0.314,0.341,0.655
241,Mickey Welch,1973,13,1880,1892,0,-0.8,607,2286,2201,268,492,93,16,12,202,10,,82,329,,,,,0.224,0.252,0.297,0.549
242,Zack Wheat,1959,19,1909,1927,0,60.2,2410,10006,9106,1289,2884,476,172,132,1248,205,69,650,572,,,,163,0.317,0.367,0.45,0.817
243,Deacon White,2013,20,1871,1890,0,45.7,1560,6973,6624,1140,2067,270,98,24,988,70,9,308,221,,8,,,0.312,0.346,0.393,0.74
244,Hoyt Wilhelm,1985,21,1952,1972,8,-2.9,1070,493,432,24,38,3,1,1,21,0,1,26,166,0,8,1,34,0.088,0.139,0.106,0.246
245,Billy Williams,1987,18,1959,1976,6,63.7,2488,10519,9350,1410,2711,434,88,426,1475,90,49,1045,1046,182,200,73,8,0.29,0.361,0.492,0.853
246,Dick Williams,2008,13,1951,1964,0,3.5,1023,3265,2959,358,768,157,12,70,331,12,21,227,392,13,97,25,42,0.26,0.312,0.392,0.704
247,Ted Williams,1966,19,1939,1960,19,123.1,2292,9788,7706,1798,2654,525,71,521,1839,24,17,2021,709,243,197,20,5,0.344,0.482,0.634,1.116
248,Vic Willis,1995,13,1898,1910,0,-3.9,531,1623,1493,107,248,19,4,1,84,3,,81,199,,,,41,0.166,0.213,0.186,0.399
249,Hack Wilson,1979,12,1923,1934,0,38.9,1348,5555,4760,884,1461,266,67,244,1063,52,5,674,713,,15,,102,0.307,0.395,0.545,0.94
250,Dave Winfield,2001,22,1973,1995,12,64.2,2973,12358,11003,1669,3110,540,88,465,1833,223,96,1216,1686,172,319,95,19,0.283,0.353,0.475,0.827
251,George Wright,1937,12,1871,1882,0,23.2,591,2941,2873,665,866,124,60,11,326,47,20,68,119,,2,,,0.301,0.318,0.398,0.715
252,Harry Wright,1953,7,1871,1877,0,0.6,180,850,813,183,224,21,8,4,113,11,3,37,14,,3,,,0.276,0.307,0.336,0.643
253,Early Wynn,1972,23,1939,1963,9,9.1,796,1904,1704,136,365,59,5,17,173,1,0,141,330,1,33,4,52,0.214,0.274,0.285,0.559
254,Carl Yastrzemski,1989,23,1961,1983,18,96.4,3308,13992,11988,1816,3419,646,59,452,1844,168,116,1845,1393,190,323,105,13,0.285,0.379,0.462,0.841
255,Cy Young,1937,22,1890,1911,0,-2,918,3100,2960,325,623,87,35,18,290,29,,81,381,,,,50,0.21,0.234,0.282,0.516
256,Ross Youngs,1972,10,1917,1926,0,32.2,1211,5336,4627,812,1491,236,93,42,592,153,83,550,390,,,,119,0.322,0.399,0.441,0.839
257,Robin Yount,1999,20,1974,1993,3,77.3,2856,12249,11008,1632,3142,583,126,251,1406,271,105,966,1350,95,217,123,104,0.285,0.342,0.43,0.772
,Average Batting HOFer,,18,1871,2012,6,69,2152,9073,7973,1332,2409,415,105,223,1227,227,57,910,777,63,107,32,100,0.302,0.376,0.465,0.841
